segment,P_Władca,P_Bohater,P_Mędrzec,P_Opiekun,P_Kochanek,P_Błazen,P_Twórca,P_Odkrywca,P_Czarodziej,P_Towarzysz,P_Niewinny,P_Buntownik
0,4.852459016393443,8.131147540983607,2.540983606557377,-4.841530054644808,-5.251366120218579,-4.229508196721311,5.316939890710382,1.994535519125683,2.0546448087431695,-4.950819672131147,-2.3442622950819674,1.726775956284153
1,7.667664670658683,-1.8053892215568863,5.161676646706587,6.491017964071856,1.8802395209580838,-5.074850299401198,-1.8173652694610778,-5.25748502994012,-5.050898203592815,1.8233532934131738,6.236526946107785,-5.254491017964072
2,-5.068181818181818,-1.7727272727272727,-1.8149350649350648,-5.084415584415584,-1.6688311688311688,1.8896103896103895,1.6428571428571428,7.961038961038961,1.655844155844156,6.058441558441558,-5.012987012987013,6.214285714285714
3,5.628930817610063,8.119496855345911,3.0440251572327046,-5.477987421383648,-5.163522012578617,-6.163522012578617,6.786163522012578,1.559748427672956,1.220125786163522,-5.213836477987422,-1.0125786163522013,1.6729559748427674
4,-4.9375,-1.8125,-1.375,-4.8125,-1.125,1.6875,1.5,8.125,2.1875,5.625,-5.3125,5.25
