plec,wiek,udzial_docelowy
kobieta,15-39,0.196
kobieta,40-59,0.160
kobieta,60 i więcej,0.185
mężczyzna,15-39,0.189
mężczyzna,40-59,0.151
mężczyzna,60 i więcej,0.119
