kod_numeryczny,archetyp_kanoniczny,B2_lub_D13
1,Władca,tak
2,Bohater,tak
3,Mędrzec,tak
4,Opiekun,tak
5,Kochanek,tak
6,Błazen,tak
7,Twórca,tak
8,Odkrywca,tak
9,Czarodziej,tak
10,Towarzysz,tak
11,Niewinny,tak
12,Buntownik,tak
